include_regex,exclude_regex,major
econ(omics)?,^$,econ-ba
foreign affairs,^$,foraff-ba
math,^$,math-ba
cog(nitive)? sci(ence)?,^$,incogs-ba
(ba)?(^| )(cs|computer science) \(?college\)?,^$,incomp-ba
(^| )(cs|computer science),(ba)?(^| )(cs|computer science) \(?college\)?,compsc-bs
^it| it$,^$,comm-bsc
comm,pre-?comm(erce)?,comm-bsc
pre-?comm(erce)?,^$,precomm
phil(osophy)?,^$,phil-ba
stat(istic)?s?,^$,instat-ba
rel(igious)? studies,^$,relig-ba
urban (and|\&) environmental planning,^$,plan-buep
bme,^$,biomen-bs
english,teaching|education,engl-ba
anthropology,^$,anthro-ba
arch(itecture)?,[a-zA-Z]arch,arch-bs
batten,^$,pubpol-ba
hist(ory),art|arch(itecture)?,hist-ba
french,^$,french-ba
biol(ogy),b\.?[as]\.?,biol
biochemistry,^$,chem-bs
biomedical engineering,^$,biomen-bs
women and gender studies,^$,inswag-ba
biology \(?b\.?a\.?\)?,^$,biol-ba
